stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
integer,0.0,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.0,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.0,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.0,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.0,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.0,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.1111111111111111,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.1111111111111111,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.1111111111111111,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.1111111111111111,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.2222222222222222,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.2222222222222222,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.2222222222222222,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.2222222222222222,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.2222222222222222,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.2222222222222222,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.3333333333333333,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.3333333333333333,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.3333333333333333,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.3333333333333333,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.3333333333333333,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.3333333333333333,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.4444444444444444,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.4444444444444444,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.4444444444444444,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.4444444444444444,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.5555555555555556,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.5555555555555556,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.5555555555555556,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.5555555555555556,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.5555555555555556,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.5555555555555556,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.6666666666666666,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.6666666666666666,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.6666666666666666,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.6666666666666666,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.6666666666666666,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.6666666666666666,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.7777777777777778,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.7777777777777778,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.7777777777777778,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.7777777777777778,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.7777777777777778,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.7777777777777778,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.8888888888888888,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.8888888888888888,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.8888888888888888,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.8888888888888888,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.8888888888888888,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.8888888888888888,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,1.0,loadbusa,19.0,0.0,19.0,0.0,100.0
integer,1.0,loadbusb,2.0,0.0,2.0,0.0,100.0
integer,1.0,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,1.0,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,1.0,loadbuse,22.0,0.0,22.0,0.0,100.0
integer,1.0,__network_total__,70.0,0.0,70.0,0.0,100.0
